2020-03-20 | 00:17:21.646 | [] |  INFO | HotelAppApplication            | (    55) | Starting HotelAppApplication on Mario with PID 8356 (D:\mario\hotel-app\target\classes started by OEM in D:\mario\hotel-app)
2020-03-20 | 00:17:21.693 | [] | DEBUG | HotelAppApplication            | (    56) | Running with Spring Boot v2.2.5.RELEASE, Spring v5.2.4.RELEASE
2020-03-20 | 00:17:21.693 | [] |  INFO | HotelAppApplication            | (   655) | The following profiles are active: dev
2020-03-20 | 00:17:22.240 | [] |  INFO | RepositoryConfigurationDelegate | (   249) | Multiple Spring Data modules found, entering strict repository configuration mode!
2020-03-20 | 00:17:22.240 | [] |  INFO | RepositoryConfigurationDelegate | (   127) | Bootstrapping Spring Data JDBC repositories in DEFAULT mode.
2020-03-20 | 00:17:22.287 | [] |  INFO | RepositoryConfigurationExtensionSupport | (   348) | Spring Data JDBC - Could not safely identify store assignment for repository candidate interface mario.repositories.HotelRepository. If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
2020-03-20 | 00:17:22.287 | [] |  INFO | RepositoryConfigurationDelegate | (   187) | Finished Spring Data repository scanning in 20ms. Found 0 JDBC repository interfaces.
2020-03-20 | 00:17:22.287 | [] |  INFO | RepositoryConfigurationDelegate | (   249) | Multiple Spring Data modules found, entering strict repository configuration mode!
2020-03-20 | 00:17:22.287 | [] |  INFO | RepositoryConfigurationDelegate | (   127) | Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2020-03-20 | 00:17:22.302 | [] |  INFO | RepositoryConfigurationDelegate | (   187) | Finished Spring Data repository scanning in 16ms. Found 1 JPA repository interfaces.
2020-03-20 | 00:17:22.630 | [] |  INFO | TomcatWebServer                | (    92) | Tomcat initialized with port(s): 8080 (http)
2020-03-20 | 00:17:22.646 | [] |  INFO | StandardService                | (   173) | Starting service [Tomcat]
2020-03-20 | 00:17:22.646 | [] |  INFO | StandardEngine                 | (   173) | Starting Servlet engine: [Apache Tomcat/9.0.31]
2020-03-20 | 00:17:22.740 | [] |  INFO | [/api]                         | (   173) | Initializing Spring embedded WebApplicationContext
2020-03-20 | 00:17:22.740 | [] |  INFO | ContextLoader                  | (   284) | Root WebApplicationContext: initialization completed in 984 ms
2020-03-20 | 00:17:22.834 | [] |  INFO | LogHelper                      | (    31) | HHH000204: Processing PersistenceUnitInfo [name: default]
2020-03-20 | 00:17:22.865 | [] |  INFO | Version                        | (    44) | HHH000412: Hibernate ORM core version 5.4.12.Final
2020-03-20 | 00:17:22.943 | [] |  INFO | Version                        | (    49) | HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
2020-03-20 | 00:17:22.990 | [] |  INFO | HikariDataSource               | (   110) | HikariPool-1 - Starting...
2020-03-20 | 00:17:23.083 | [] |  INFO | HikariDataSource               | (   123) | HikariPool-1 - Start completed.
2020-03-20 | 00:17:23.099 | [] |  INFO | Dialect                        | (   172) | HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
2020-03-20 | 00:17:23.443 | [] |  INFO | JtaPlatformInitiator           | (    52) | HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2020-03-20 | 00:17:23.458 | [] |  INFO | LocalContainerEntityManagerFactoryBean | (   416) | Initialized JPA EntityManagerFactory for persistence unit 'default'
2020-03-20 | 00:17:23.646 | [] |  WARN | JpaBaseConfiguration$JpaWebConfiguration | (   220) | spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2020-03-20 | 00:17:23.724 | [] |  INFO | ThreadPoolTaskExecutor         | (   181) | Initializing ExecutorService 'applicationTaskExecutor'
2020-03-20 | 00:17:23.818 | [] |  WARN | Configuration$DefaultTemplateResolverConfiguration | (   106) | Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
2020-03-20 | 00:17:23.911 | [] |  INFO | TomcatWebServer                | (   204) | Tomcat started on port(s): 8080 (http) with context path '/api'
2020-03-20 | 00:17:23.911 | [] |  INFO | HotelAppApplication            | (    61) | Started HotelAppApplication in 2.573 seconds (JVM running for 3.193)
2020-03-20 | 12:00:33.621 | [] |  INFO | HotelAppApplication            | (    55) | Starting HotelAppApplication on Mario with PID 1040 (D:\mario\hotel-app\target\classes started by OEM in D:\mario\hotel-app)
2020-03-20 | 12:00:33.624 | [] | DEBUG | HotelAppApplication            | (    56) | Running with Spring Boot v2.2.5.RELEASE, Spring v5.2.4.RELEASE
2020-03-20 | 12:00:33.624 | [] |  INFO | HotelAppApplication            | (   655) | The following profiles are active: dev
2020-03-20 | 12:00:34.183 | [] |  INFO | RepositoryConfigurationDelegate | (   249) | Multiple Spring Data modules found, entering strict repository configuration mode!
2020-03-20 | 12:00:34.184 | [] |  INFO | RepositoryConfigurationDelegate | (   127) | Bootstrapping Spring Data JDBC repositories in DEFAULT mode.
2020-03-20 | 12:00:34.210 | [] |  INFO | RepositoryConfigurationExtensionSupport | (   348) | Spring Data JDBC - Could not safely identify store assignment for repository candidate interface mario.repositories.HotelRepository. If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
2020-03-20 | 12:00:34.210 | [] |  INFO | RepositoryConfigurationDelegate | (   187) | Finished Spring Data repository scanning in 25ms. Found 0 JDBC repository interfaces.
2020-03-20 | 12:00:34.210 | [] |  INFO | RepositoryConfigurationDelegate | (   249) | Multiple Spring Data modules found, entering strict repository configuration mode!
2020-03-20 | 12:00:34.210 | [] |  INFO | RepositoryConfigurationDelegate | (   127) | Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2020-03-20 | 12:00:34.242 | [] |  INFO | RepositoryConfigurationDelegate | (   187) | Finished Spring Data repository scanning in 19ms. Found 1 JPA repository interfaces.
2020-03-20 | 12:00:34.634 | [] |  INFO | TomcatWebServer                | (    92) | Tomcat initialized with port(s): 8080 (http)
2020-03-20 | 12:00:34.634 | [] |  INFO | StandardService                | (   173) | Starting service [Tomcat]
2020-03-20 | 12:00:34.634 | [] |  INFO | StandardEngine                 | (   173) | Starting Servlet engine: [Apache Tomcat/9.0.31]
2020-03-20 | 12:00:34.752 | [] |  INFO | [/api]                         | (   173) | Initializing Spring embedded WebApplicationContext
2020-03-20 | 12:00:34.752 | [] |  INFO | ContextLoader                  | (   284) | Root WebApplicationContext: initialization completed in 1090 ms
2020-03-20 | 12:00:34.855 | [] |  INFO | LogHelper                      | (    31) | HHH000204: Processing PersistenceUnitInfo [name: default]
2020-03-20 | 12:00:34.919 | [] |  INFO | Version                        | (    44) | HHH000412: Hibernate ORM core version 5.4.12.Final
2020-03-20 | 12:00:35.012 | [] |  INFO | Version                        | (    49) | HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
2020-03-20 | 12:00:35.071 | [] |  INFO | HikariDataSource               | (   110) | HikariPool-1 - Starting...
